Frequency_Hz,flight_001_accelerometer_x,flight_001_accelerometer_y,flight_001_accelerometer_z,flight_001_pressure_1,flight_001_temperature_1,flight_002_accelerometer_aft,flight_002_accelerometer_x,flight_002_accelerometer_y,flight_002_accelerometer_z,flight_002_pressure_1,flight_002_temperature_1
0.0,0.0011462660062609542,0.0006312753022294549,0.0011379157694398723,4.302390276571321,0.004255732969120482,0.0011584675927161796,0.0012135593928488417,0.0005822422333510075,0.0011669664850232238,4.301028987711165,0.0050955786369816704
39.0625,0.007698481683600832,0.005364492334998678,0.008825953478419345,30.356608034802044,0.01723139803303996,0.008279175507772959,0.0078048220871526335,0.005337927515783892,0.008925445575963746,30.5124979857792,0.021091509340901808
78.125,0.007579878337913077,0.006620349478317824,0.009492371493139726,16.58975883852986,0.018088040519653216,0.008693134403817413,0.007684860547831712,0.006611361012934028,0.009567561129729845,16.53749062023347,0.021823782214357636
117.1875,0.005782345004049024,0.004553086651178112,0.00742567067677138,4.031071052050255,0.019614064323158452,0.006771377210169885,0.005964710921376557,0.004608767088353064,0.0077317110016986825,4.043391240842691,0.02439923926764447
156.25,0.005809515663357618,0.006350624104098084,0.009823022434567182,0.01139197303431238,0.01780362847235523,0.008560331116175367,0.004922946196857783,0.0059506684586953604,0.009608409088785661,0.010929297322483841,0.019940710866860695
195.3125,0.020676825601625454,0.02068601126325086,0.02082975491730977,0.003376854609969889,0.019274684361583656,0.020826724003527156,0.020531289953928066,0.02072007381425748,0.02093897037181312,0.0034563336848643872,0.022870157838544514
234.375,0.007543560993222228,0.007583341258231063,0.00748483605557864,0.002268872236554664,0.020825808991895265,0.0075439517030444795,0.007519590034416723,0.007565355169790877,0.0075686145817440344,0.0020424049317809413,0.019032782893923322
273.4375,0.00011820298221599473,0.00013133447185994132,0.00013293406427179408,0.0017438242063352286,0.01576421618125568,0.0001319623739982911,0.00013014536017306875,7.825296061613458e-05,0.00011525202713441085,0.0019282178528752811,0.017243495884665762
312.5,2.296523672566524e-05,2.066104430580879e-05,2.2003965798245448e-05,0.0023483195918807356,0.01937246879634774,2.1912563337261014e-05,2.258630500044196e-05,1.865944800178969e-05,2.2621320779543244e-05,0.002579850058839799,0.016658662131907358
351.5625,1.0613762921846662e-05,1.1550358895142246e-05,1.1684925314700054e-05,0.09899007171443802,0.02128736367288523,1.176712447172807e-05,1.1927447804473242e-05,6.735495232267524e-06,1.0261268869526844e-05,0.09810738228405706,0.018559111373089736
